task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_0_0,MRSG_MAP,0,0.001,START,
0_1_0,MRSG_MAP,1,0.004,START,
0_2_0,MRSG_MAP,2,0.007,START,
0_3_0,MRSG_MAP,3,0.009,START,
0_4_0,MRSG_MAP,4,0.012,START,
0_5_0,MRSG_MAP,5,0.014,START,
0_6_0,MRSG_MAP,6,0.017,START,
0_7_0,MRSG_MAP,7,0.020,START,
0_8_0,MRSG_MAP,8,0.022,START,
0_9_0,MRSG_MAP,9,0.025,START,
0_0_0,MRSG_MAP,0,0.027,END,0.000
0_1_0,MRSG_MAP,1,0.029,END,0.000
0_2_0,MRSG_MAP,2,0.030,END,0.000
0_3_0,MRSG_MAP,3,0.031,END,0.000
0_4_0,MRSG_MAP,4,0.033,END,0.000
0_5_0,MRSG_MAP,5,0.034,END,0.000
0_6_0,MRSG_MAP,6,0.035,END,0.000
0_7_0,MRSG_MAP,7,0.036,END,0.000
0_8_0,MRSG_MAP,8,0.038,END,0.000
0_9_0,MRSG_MAP,9,0.039,END,0.000
1_0_0,MRSG_REDUCE,0,3.003,START,
1_1_0,MRSG_REDUCE,1,3.005,START,
1_2_0,MRSG_REDUCE,2,3.008,START,
1_3_0,MRSG_REDUCE,3,3.010,START,
1_4_0,MRSG_REDUCE,4,3.013,START,
1_5_0,MRSG_REDUCE,5,3.016,START,
1_6_0,MRSG_REDUCE,6,3.018,START,
1_7_0,MRSG_REDUCE,7,3.021,START,
1_8_0,MRSG_REDUCE,8,3.023,START,
1_9_0,MRSG_REDUCE,9,3.026,START,
1_0_0,MRSG_REDUCE,0,6.330,END,6.329
1_1_0,MRSG_REDUCE,1,6.415,END,6.414
1_2_0,MRSG_REDUCE,2,6.493,END,6.492
1_3_0,MRSG_REDUCE,3,6.535,END,6.533
1_4_0,MRSG_REDUCE,4,6.621,END,6.620
1_5_0,MRSG_REDUCE,5,6.702,END,6.701
1_6_0,MRSG_REDUCE,6,6.764,END,6.763
1_7_0,MRSG_REDUCE,7,6.800,END,6.799
1_8_0,MRSG_REDUCE,8,6.802,END,6.800
1_9_0,MRSG_REDUCE,9,6.805,END,6.804
